timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773948425,deployment-webui-1,0.44%,437.2MiB / 1.946GiB,21.94%,2.14GB / 2.58GB,817MB / 1.03MB,110
1773948425,deployment-registry-1,0.47%,100.1MiB / 1.946GiB,5.02%,4.9MB / 3.22MB,361MB / 524kB,50
1773948425,deployment-recommender-1,2.91%,232.6MiB / 1.946GiB,11.67%,10.1MB / 6.25MB,435MB / 115kB,74
1773948425,deployment-persistence-1,0.14%,310.6MiB / 1.946GiB,15.59%,176MB / 159MB,507MB / 1.34MB,56
1773948425,deployment-db-1,0.09%,13.14MiB / 1.946GiB,0.66%,17.4MB / 65.1MB,142MB / 133MB,35
1773948433,deployment-image-1,5.54%,205.6MiB / 1.946GiB,10.31%,59.7MB / 1.86GB,379MB / 397kB,78
1773948433,deployment-auth-1,13.15%,220.4MiB / 1.946GiB,11.06%,96.2MB / 64.7MB,550MB / 786kB,69
1773948433,deployment-webui-1,12.39%,439.9MiB / 1.946GiB,22.07%,2.14GB / 2.59GB,820MB / 1.03MB,110
1773948433,deployment-registry-1,0.57%,100.2MiB / 1.946GiB,5.03%,4.92MB / 3.23MB,361MB / 524kB,50
1773948433,deployment-recommender-1,1.34%,232.7MiB / 1.946GiB,11.67%,10.1MB / 6.25MB,435MB / 115kB,74
1773948433,deployment-persistence-1,7.43%,310.9MiB / 1.946GiB,15.60%,176MB / 159MB,507MB / 1.34MB,56
1773948433,deployment-db-1,0.61%,13.07MiB / 1.946GiB,0.66%,17.5MB / 65.3MB,142MB / 133MB,35
1773948441,deployment-image-1,1.41%,206.5MiB / 1.946GiB,10.36%,59.7MB / 1.86GB,380MB / 397kB,78
1773948441,deployment-auth-1,3.09%,220.4MiB / 1.946GiB,11.06%,96.2MB / 64.7MB,550MB / 786kB,69
1773948441,deployment-webui-1,2.50%,440MiB / 1.946GiB,22.08%,2.14GB / 2.59GB,820MB / 1.03MB,110
1773948441,deployment-registry-1,0.57%,100.3MiB / 1.946GiB,5.03%,4.93MB / 3.24MB,361MB / 524kB,50
1773948441,deployment-recommender-1,1.19%,232.8MiB / 1.946GiB,11.68%,10.1MB / 6.25MB,435MB / 115kB,74
1773948441,deployment-persistence-1,1.28%,310.9MiB / 1.946GiB,15.60%,176MB / 159MB,507MB / 1.34MB,56
1773948441,deployment-db-1,0.08%,13.07MiB / 1.946GiB,0.66%,17.5MB / 65.3MB,142MB / 133MB,35
1773948449,deployment-image-1,2.12%,206.1MiB / 1.946GiB,10.34%,59.7MB / 1.86GB,380MB / 397kB,78
1773948449,deployment-auth-1,5.01%,220.2MiB / 1.946GiB,11.05%,96.3MB / 64.7MB,550MB / 786kB,69
1773948449,deployment-webui-1,3.39%,440.1MiB / 1.946GiB,22.08%,2.14GB / 2.59GB,820MB / 1.03MB,110
1773948449,deployment-registry-1,0.51%,100.3MiB / 1.946GiB,5.03%,4.95MB / 3.25MB,361MB / 524kB,50
1773948449,deployment-recommender-1,2.22%,232.7MiB / 1.946GiB,11.68%,10.1MB / 6.26MB,436MB / 115kB,74
1773948449,deployment-persistence-1,1.20%,310.2MiB / 1.946GiB,15.57%,176MB / 159MB,507MB / 1.34MB,56
1773948449,deployment-db-1,0.33%,13.02MiB / 1.946GiB,0.65%,17.5MB / 65.3MB,142MB / 133MB,35
1773948458,deployment-image-1,2.00%,206.6MiB / 1.946GiB,10.37%,59.7MB / 1.86GB,381MB / 397kB,78
1773948458,deployment-auth-1,11.80%,220.4MiB / 1.946GiB,11.06%,96.3MB / 64.7MB,550MB / 786kB,69
1773948458,deployment-webui-1,1.42%,440.6MiB / 1.946GiB,22.11%,2.14GB / 2.59GB,821MB / 1.03MB,110
1773948458,deployment-registry-1,0.93%,100.3MiB / 1.946GiB,5.03%,4.96MB / 3.26MB,361MB / 524kB,50
1773948458,deployment-recommender-1,4.32%,233.2MiB / 1.946GiB,11.70%,10.1MB / 6.26MB,436MB / 115kB,74
1773948458,deployment-persistence-1,6.00%,310.7MiB / 1.946GiB,15.59%,176MB / 159MB,507MB / 1.34MB,56
1773948458,deployment-db-1,0.26%,13.02MiB / 1.946GiB,0.65%,17.5MB / 65.4MB,142MB / 133MB,35
1773948466,deployment-image-1,3.46%,206.9MiB / 1.946GiB,10.38%,59.7MB / 1.86GB,381MB / 397kB,78
1773948466,deployment-auth-1,1.65%,220MiB / 1.946GiB,11.04%,96.3MB / 64.7MB,551MB / 786kB,69
1773948466,deployment-webui-1,3.31%,440.6MiB / 1.946GiB,22.11%,2.14GB / 2.59GB,821MB / 1.03MB,110
1773948466,deployment-registry-1,0.74%,100.3MiB / 1.946GiB,5.03%,4.98MB / 3.27MB,361MB / 524kB,50
1773948466,deployment-recommender-1,15.16%,233.4MiB / 1.946GiB,11.71%,10.1MB / 6.27MB,436MB / 115kB,74
