timestamp,container,cpu_perc,mem_usage,mem_limit,mem_perc,net_io,block_io,pids
1773916514,deployment-db-1,0.08%,5.711MiB / 1.946GiB,0.29%,7.71MB / 34.5MB,91.1MB / 2.17MB,62
1773916514,deployment-auth-1,1.12%,243.1MiB / 1.946GiB,12.20%,21.5MB / 13.5MB,691MB / 328kB,65
1773916514,deployment-recommender-1,1.62%,279MiB / 1.946GiB,14.00%,7.51MB / 11.4MB,574MB / 1.29MB,74
1773916514,deployment-persistence-1,0.52%,275.6MiB / 1.946GiB,13.83%,58.3MB / 63MB,792MB / 3.45MB,117
1773916523,deployment-image-1,1.13%,219.7MiB / 1.946GiB,11.03%,28.3MB / 1.14GB,598MB / 4.2MB,136
1773916523,deployment-registry-1,0.71%,73.75MiB / 1.946GiB,3.70%,47.9MB / 31.5MB,563MB / 741kB,50
1773916523,deployment-webui-1,1.21%,415.7MiB / 1.946GiB,20.86%,1.22GB / 1.46GB,792MB / 2.31MB,164
1773916523,deployment-db-1,0.07%,5.691MiB / 1.946GiB,0.29%,7.71MB / 34.5MB,91.1MB / 2.17MB,62
1773916523,deployment-auth-1,1.00%,243.6MiB / 1.946GiB,12.22%,21.5MB / 13.5MB,691MB / 328kB,65
1773916523,deployment-recommender-1,1.71%,279.6MiB / 1.946GiB,14.03%,7.51MB / 11.4MB,575MB / 1.29MB,74
1773916523,deployment-persistence-1,0.21%,275.7MiB / 1.946GiB,13.83%,58.3MB / 63MB,792MB / 3.45MB,117
1773916531,deployment-image-1,1.22%,219.8MiB / 1.946GiB,11.03%,28.3MB / 1.14GB,598MB / 4.2MB,136
1773916531,deployment-registry-1,0.42%,74.98MiB / 1.946GiB,3.76%,47.9MB / 31.6MB,565MB / 741kB,50
1773916531,deployment-webui-1,2.70%,415.7MiB / 1.946GiB,20.86%,1.22GB / 1.46GB,792MB / 2.31MB,164
